,frases
1216,fizesse entrega hoje
1217,escolheu opcao receber produto residencia prazo entrega <NUMERO> dias uteis confirmacao pagamento
1218,consultar status entrega
1227,residencia
1229,compra sera entregue ate <span style color <NUMERO> voce ira receber ligacao agendar dia entrega
1256,ajudar
1262,edvaldo vamos conversar sobre
1263,favor escolha opcoes abaixo
1265,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
1267,preciso informe cpf pessoa realizou compra
1269,compra edvaldo status pedido
1271,alguma informacao sobre pedido
1273,ajudar
1278,pb
1279,edvaldo vamos conversar sobre
1280,favor escolha opcoes abaixo
1281,pedido
1282,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
1283,<PEDIDO>
1284,preciso informe cpf pessoa realizou compra
1285,<NUMERO>
1286,compra edvaldo status pedido
1288,alguma informacao sobre pedido
1289,nao
1290,ajudar
1291,sim
1296,marcela vamos conversar sobre
1297,favor escolha opcoes abaixo
1299,favor informa numero pedido <PEDIDO>
1301,preciso informe cpf pessoa realizou compra
1303,pedido <PEDIDO> boleto <PEDIDO> clique aqui
1304,ajudar
1306,vou tentar ver colegas proxima vez consiga ajudar melhor abracos
1310,renata vamos conversar sobre
1311,favor escolha opcoes abaixo
1313,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
1315,preciso informe cpf pessoa realizou compra
1317,compra renata status pedido
1319,alguma informacao sobre pedido
1321,tentar ajudar duvida renata
1322,entrega
1323,escolheu opcao receber produto residencia prazo entrega <NUMERO> dias uteis confirmacao pagamento
1324,consultar status entrega
1333,residencia
1335,finalizacao compra ate <NUMERO> horas confirmar pagamento caso compra sido efetuada cartao voce pode receber ligacao outra regiao
1362,ajudar
1364,aqui sempre precisar renata
1368,adriana vamos conversar sobre
1369,favor escolha opcoes abaixo
1371,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
1372,<PEDIDO>
1373,nao consegui encontrar compras pedido confirma pedido novamente
1375,preciso informe cpf pessoa realizou compra
1377,compra adriana status pedido
1378,recebido produto ventilador <NUMERO> <NUMERO> <NUMERO> pas mondial potencia <NUMERO> branco tipo entrega retirada loja observacao partir dia <NUMERO> voce podera pegar produto loja
1379,ficou alguma duvida relacao pedido
1381,ainda aprendendo adriana algumas duvidas ainda nao consigo ajudar aqui outras voce pode tentar consultar outras duvidas logo inicio conversa
1382,fala irei verificar junto colegas vou pedir entrar contato voce breve
1383,chegou email confirmacao retirada loja
1386,ok adriana vou repassar voce falou colegas
1387,ter ajudado abracos
1390,caval pb
1391,felipe caldas caval vamos conversar sobre
1392,favor escolha opcoes abaixo
1393,caval pedido
1394,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
1395,caval <PEDIDO>
1396,nao consegui encontrar compras pedido confirma pedido novamente
1397,caval <PEDIDO>
1398,preciso informe cpf pessoa realizou compra
1399,caval <NUMERO>
1400,compra felipe caldas caval status pedido
1402,alguma informacao sobre pedido
1403,caval sim
1404,ainda aprendendo felipe caldas caval algumas duvidas ainda nao consigo ajudar aqui fala duvida sobre prazo entrega confirmacao pagamento
1405,caval prazo entrega
1406,escolheu opcao receber produto residencia prazo entrega <NUMERO> dias uteis confirmacao pagamento
1407,consultar status entrega
1408,caval sim
1409,caldas caval voce escolheu <div style
1416,residencia
1418,compra sera entregue ate <span style color <NUMERO> voce ira receber ligacao agendar dia entrega
1445,ajudar
1446,caval sim
